timestep	evaders	pursuers	evader_capture_status
30	[[6, 14], [18, 8], [5, 27], [9, 33], [26, 16], [36, 24], [11, 28], [20, 18], [13, 24], [16, 30], [35, 30], [25, 32], [22, 11], [34, 38], [7, 31], [35, 6], [28, 22], [26, 8], [29, 31], [17, 13], [5, 6], [20, 30], [29, 4], [26, 27], [19, 25], [11, 6], [19, 21], [23, 20], [12, 34], [18, 34]]	[[36, 23], [0, 34], [4, 27], [4, 35], [13, 23], [34, 21], [34, 28], [35, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
31	[[5, 14], [18, 7], [5, 28], [9, 32], [25, 16], [36, 25], [11, 29], [19, 18], [13, 25], [15, 30], [35, 31], [24, 32], [22, 12], [33, 38], [7, 30], [34, 6], [27, 22], [26, 9], [30, 31], [16, 13], [4, 6], [21, 30], [29, 5], [25, 27], [20, 25], [10, 6], [18, 21], [24, 20], [13, 34], [18, 35]]	[[36, 24], [0, 35], [5, 27], [4, 34], [13, 24], [34, 22], [34, 29], [34, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32	[[5, 15], [18, 8], [5, 29], [10, 32], [25, 17], [35, 25], [11, 30], [20, 18], [13, 26], [16, 30], [35, 32], [24, 31], [22, 11], [32, 38], [8, 30], [35, 6], [28, 22], [27, 9], [29, 31], [16, 12], [5, 6], [21, 31], [29, 4], [24, 27], [21, 25], [9, 6], [17, 21], [23, 20], [13, 35], [18, 34]]	[[36, 25], [0, 36], [5, 28], [5, 34], [13, 25], [34, 23], [34, 30], [33, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
33	[[5, 16], [18, 7], [5, 30], [11, 32], [26, 17], [35, 26], [10, 30], [19, 18], [13, 27], [16, 29], [35, 33], [25, 31], [22, 12], [31, 38], [8, 31], [34, 6], [29, 22], [26, 9], [28, 31], [16, 13], [4, 6], [22, 31], [29, 5], [24, 26], [20, 25], [10, 6], [17, 20], [23, 21], [13, 34], [19, 34]]	[[35, 25], [0, 37], [5, 29], [5, 33], [13, 26], [34, 24], [34, 31], [32, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34	[[5, 17], [18, 8], [4, 30], [12, 32], [26, 16], [35, 27], [10, 29], [20, 18], [12, 27], [17, 29], [35, 34], [25, 32], [23, 12], [30, 38], [8, 32], [35, 6], [29, 21], [25, 9], [29, 31], [15, 13], [5, 6], [21, 31], [29, 4], [25, 26], [20, 26], [9, 6], [16, 20], [23, 20], [14, 34], [19, 35]]	[[35, 26], [0, 38], [5, 30], [5, 32], [13, 27], [33, 24], [34, 32], [31, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
35	[[4, 17], [19, 8], [4, 29], [12, 31], [27, 16], [35, 28], [10, 30], [20, 17], [12, 26], [18, 29], [35, 35], [25, 31], [22, 12], [29, 38], [8, 33], [34, 6], [29, 20], [26, 9], [29, 30], [14, 13], [4, 6], [22, 31], [29, 5], [26, 26], [19, 26], [9, 5], [16, 21], [24, 20], [15, 34], [18, 35]]	[[35, 27], [1, 38], [4, 30], [6, 32], [12, 27], [33, 25], [34, 33], [30, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
36	[[5, 17], [19, 7], [4, 28], [13, 31], [26, 16], [35, 29], [9, 30], [19, 17], [13, 26], [19, 29], [35, 36], [25, 30], [21, 12], [28, 38], [8, 34], [35, 6], [29, 19], [27, 9], [29, 29], [15, 13], [5, 6], [23, 31], [29, 4], [25, 26], [20, 26], [10, 5], [17, 21], [25, 20], [14, 34], [18, 34]]	[[35, 28], [2, 38], [4, 29], [7, 32], [12, 26], [33, 26], [34, 34], [29, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
37	[[5, 18], [18, 7], [5, 28], [13, 30], [25, 16], [35, 30], [10, 30], [20, 17], [13, 27], [18, 29], [35, 37], [25, 29], [21, 11], [27, 38], [8, 35], [34, 6], [30, 19], [27, 10], [29, 28], [15, 12], [4, 6], [23, 32], [29, 5], [25, 25], [21, 26], [10, 4], [16, 21], [25, 21], [13, 34], [19, 34]]	[[35, 29], [3, 38], [4, 28], [7, 33], [13, 26], [33, 27], [34, 35], [28, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
38	[[5, 19], [18, 6], [5, 29], [13, 29], [25, 15], [35, 31], [9, 30], [20, 16], [13, 28], [18, 28], [35, 38], [25, 28], [21, 12], [26, 38], [9, 35], [35, 6], [30, 20], [26, 10], [30, 28], [16, 12], [5, 6], [22, 32], [28, 5], [25, 24], [22, 26], [10, 5], [15, 21], [25, 20], [14, 34], [18, 34]]	[[35, 30], [4, 38], [5, 28], [7, 34], [13, 27], [33, 28], [34, 36], [27, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
39	[[4, 19], [17, 6], [4, 29], [12, 29], [25, 14], [35, 32], [9, 31], [20, 17], [12, 28], [19, 28], [34, 38], [26, 28], [21, 11], [25, 38], [10, 35], [34, 6], [30, 19], [25, 10], [29, 28], [15, 12], [4, 6], [23, 32], [27, 5], [26, 24], [21, 26], [11, 5], [14, 21], [24, 20], [13, 34], [18, 33]]	[[35, 31], [5, 38], [5, 29], [8, 34], [13, 28], [32, 28], [34, 37], [26, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
