timestep	evaders	pursuers	evader_capture_status
31	[[10, 15], [12, 5], [2, 27], [4, 33], [12, 21], [23, 18], [12, 24], [9, 18], [3, 19], [9, 34], [21, 23], [17, 35], [38, 30], [26, 29], [10, 25], [27, 9], [25, 22], [24, 5], [13, 30], [14, 19], [1, 19], [16, 25], [31, 5], [12, 32], [11, 34], [11, 9], [6, 31], [10, 32], [4, 31], [13, 34]]	[[7, 29], [0, 35], [8, 24], [5, 35], [3, 18], [37, 29], [38, 29], [15, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32	[[11, 15], [13, 5], [2, 26], [3, 33], [12, 20], [22, 18], [12, 23], [8, 18], [3, 20], [9, 35], [20, 23], [17, 34], [38, 31], [26, 29], [10, 26], [28, 9], [24, 22], [25, 5], [13, 29], [15, 19], [1, 20], [15, 25], [30, 5], [12, 31], [11, 35], [10, 9], [5, 31], [9, 32], [3, 31], [13, 35]]	[[7, 30], [0, 36], [9, 24], [5, 34], [3, 19], [37, 30], [38, 30], [14, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
33	[[11, 16], [12, 5], [2, 25], [2, 33], [13, 20], [22, 17], [13, 23], [9, 18], [3, 21], [9, 34], [19, 23], [16, 34], [38, 32], [25, 29], [10, 27], [27, 9], [23, 22], [26, 5], [12, 29], [16, 19], [1, 21], [16, 25], [29, 5], [11, 31], [11, 34], [11, 9], [4, 31], [9, 33], [2, 31], [13, 34]]	[[6, 30], [0, 37], [9, 25], [5, 33], [3, 20], [37, 31], [38, 31], [13, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34	[[11, 15], [13, 5], [2, 24], [2, 34], [13, 21], [23, 17], [14, 23], [8, 18], [3, 22], [9, 35], [18, 23], [17, 34], [38, 33], [24, 29], [10, 28], [27, 10], [22, 22], [25, 5], [12, 28], [15, 19], [1, 22], [16, 26], [30, 5], [10, 31], [11, 35], [10, 9], [3, 31], [8, 33], [2, 30], [13, 35]]	[[5, 30], [0, 38], [9, 26], [5, 32], [3, 21], [37, 32], [38, 32], [12, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
35	[[10, 15], [12, 5], [2, 25], [2, 35], [12, 21], [22, 17], [15, 23], [8, 17], [3, 23], [9, 34], [17, 23], [18, 34], [38, 34], [23, 29], [10, 29], [27, 9], [22, 21], [24, 5], [13, 28], [16, 19], [1, 23], [17, 26], [29, 5], [10, 32], [11, 36], [11, 9], [2, 31], [8, 34], [2, 29], [14, 35]]	[[4, 30], [1, 38], [10, 26], [4, 32], [3, 22], [37, 33], [38, 33], [12, 32]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
36	[[10, 14], [12, 4], [3, 25], [3, 35], [13, 21], [21, 17], [15, 22], [7, 17], [3, 24], [9, 35], [18, 23], [18, 33], [38, 35], [22, 29], [9, 29], [26, 9], [22, 22], [25, 5], [14, 28], [17, 19], [1, 24], [18, 26], [29, 4], [10, 31], [11, 37], [10, 9], [1, 31], [8, 35], [2, 28], [15, 35]]	[[3, 30], [2, 38], [11, 26], [3, 32], [3, 23], [37, 34], [38, 34], [11, 32]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
37	[[9, 14], [12, 5], [4, 25], [4, 35], [14, 21], [22, 17], [16, 22], [7, 16], [4, 24], [9, 34], [18, 24], [18, 32], [38, 36], [21, 29], [8, 29], [26, 8], [21, 22], [24, 5], [15, 28], [17, 18], [1, 25], [19, 26], [29, 5], [9, 31], [12, 37], [10, 8], [0, 31], [7, 35], [2, 27], [16, 35]]	[[3, 29], [3, 38], [12, 26], [2, 32], [3, 24], [37, 35], [38, 35], [11, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
38	[[9, 13], [11, 5], [5, 25], [5, 35], [14, 20], [21, 17], [16, 21], [6, 16], [5, 24], [8, 34], [18, 25], [17, 32], [38, 37], [20, 29], [8, 28], [25, 8], [22, 22], [24, 4], [16, 28], [18, 18], [1, 26], [19, 27], [28, 5], [8, 31], [12, 36], [9, 8], [0, 32], [8, 35], [1, 27], [17, 35]]	[[3, 28], [4, 38], [13, 26], [1, 32], [4, 24], [37, 36], [38, 36], [10, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
39	[[8, 13], [10, 5], [6, 25], [5, 34], [14, 19], [20, 17], [16, 22], [6, 15], [6, 24], [7, 34], [19, 25], [16, 32], [38, 38], [20, 30], [8, 27], [25, 9], [22, 23], [23, 4], [16, 29], [18, 19], [1, 27], [20, 27], [27, 5], [7, 31], [13, 36], [8, 8], [0, 33], [9, 35], [1, 26], [17, 34]]	[[3, 27], [5, 38], [14, 26], [0, 32], [5, 24], [37, 37], [38, 37], [10, 32]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
40	[[8, 12], [9, 5], [7, 25], [4, 34], [13, 19], [21, 17], [17, 22], [5, 15], [7, 24], [7, 35], [20, 25], [16, 31], [37, 38], [19, 30], [9, 27], [24, 9], [22, 22], [22, 4], [17, 29], [17, 19], [1, 28], [20, 28], [28, 5], [6, 31], [14, 36], [7, 8], [0, 34], [10, 35], [1, 25], [18, 34]]	[[2, 27], [5, 37], [14, 27], [0, 33], [6, 24], [36, 37], [38, 38], [10, 33]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
41	[[8, 13], [8, 5], [7, 26], [5, 34], [14, 19], [21, 18], [17, 21], [4, 15], [8, 24], [7, 34], [19, 25], [16, 32], [20, 30], [9, 28], [23, 9], [21, 22], [22, 5], [17, 30], [16, 19], [1, 29], [21, 28], [27, 5], [5, 31], [14, 35], [6, 8], [0, 35], [11, 35], [1, 24], [19, 34], [36, 38]]	[[2, 26], [5, 36], [15, 27], [0, 34], [7, 24], [36, 38], [37, 38], [10, 34]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
