epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
203	1.0874999999997355	0.0	4.0	25.0	0.8333333333333334	500.0	48.80776971122777	-0.013610860344551568	1.313554048538208
204	-2.2750000000001225	0.0	2.0	20.0	0.6666666666666666	500.0	15.505350340524638	-0.008702382968980548	1.3961803913116455
205	5.137499999999781	0.0	2.0	26.0	0.8666666666666667	500.0	20.085276053993613	-0.029471581797728207	1.3435769081115723
206	4.8749999999998375	0.0	4.0	28.0	0.9333333333333333	500.0	26.32679980411515	-0.018498321388015257	1.319514513015747
207	5.762499999999766	1.0	0.0	25.0	0.8333333333333334	500.0	18.286382386455493	-0.05681040963824182	1.3309166431427002
208	4.612499999999766	0.0	0.0	23.0	0.7666666666666667	500.0	20.453676077886005	-0.04951476326674629	1.3597455024719238
209	10.662499999999747	0.0	4.0	30.0	1.0	430.0	27.014511204772454	-0.010549158938303075	1.3310480117797852
210	7.162499999999679	0.0	0.0	25.0	0.8333333333333334	500.0	19.21758190333466	-0.015251068577970359	1.3044495582580566
211	6.849999999999723	0.0	0.0	25.0	0.8333333333333334	500.0	22.154018514391435	-0.02298987886192112	1.3271205425262451
212	4.624999999999839	0.0	0.0	23.0	0.7666666666666667	500.0	25.474382251571086	0.004411140473396245	1.4323527812957764
213	-4.650000000000049	1.0	6.0	24.0	0.7666666666666667	500.0	29.62831961121302	-0.0021868365549321104	1.3809621334075928
214	4.0999999999997545	0.0	2.0	25.0	0.8333333333333334	500.0	25.835901636730032	-0.01318569833465142	1.3157389163970947
215	10.93749999999969	0.0	0.0	28.0	0.9333333333333333	500.0	20.78033706315561	-0.04069976911458515	1.3178584575653076
216	-6.049999999999964	0.0	8.0	24.0	0.8	500.0	40.184326047447065	0.019610082891960416	1.4070749282836914
217	-5.212500000000009	0.0	4.0	20.0	0.6666666666666666	500.0	32.49689047069667	-0.022214742450483948	1.4419894218444824
218	8.46249999999965	0.0	0.0	26.0	0.8666666666666667	500.0	14.047325292093324	-0.05628119857904045	1.2709803581237793
219	1.1499999999998516	0.0	4.0	25.0	0.8333333333333334	500.0	35.46982114105219	-0.07094599644548615	1.4320085048675537
220	6.837499999999691	0.0	0.0	25.0	0.8333333333333334	500.0	18.352632443529235	-0.07557947605571753	1.3284060955047607
221	2.5499999999997858	0.0	4.0	26.0	0.8666666666666667	500.0	48.3709932079202	-0.034200208421268086	1.3554177284240723
