epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
159	-28.14500000000024	0.0	4.0	2.0	0.0	500.0	4.36766068152988	-0.04203568007100578	2.2701632976531982
160	-33.17500000000014	0.0	14.0	0.0	0.0	500.0	13.65070161430521	-0.02262263295289248	2.2537319660186768
161	-27.48000000000023	0.0	2.0	3.0	0.0	500.0	4.062611885628114	-0.04233388955587534	2.2515084743499756
162	-30.03500000000025	0.0	8.0	1.0	0.0	500.0	8.024173570995856	-0.024803784152019878	2.255591630935669
163	-29.30000000000029	0.0	6.0	2.0	0.0	500.0	3.936120831455846	-0.04421977073419944	2.252977132797241
164	-27.625000000000256	0.0	4.0	1.0	0.0	500.0	2.3258132502083373	-0.03552686810614052	2.252709150314331
165	-32.935000000000265	0.0	12.0	2.0	0.0	500.0	19.65278474739845	-0.02389883715273887	2.2553634643554688
166	-29.97500000000025	0.0	6.0	3.0	0.0	500.0	7.6734089808153865	-0.027778441505272134	2.356675386428833
167	-24.765000000000203	0.0	0.0	0.0	0.0	500.0	0.8065774416212571	-0.060524798793333064	2.2744596004486084
168	-29.910000000000263	0.0	6.0	3.0	0.0	500.0	9.638708797682144	-0.029411275065734446	2.2659244537353516
169	-30.365000000000244	0.0	8.0	2.0	0.0	500.0	15.474871014099685	-0.013808155006514467	2.25138521194458
170	-25.20000000000021	0.0	0.0	1.0	0.0	500.0	1.3622992290500473	-0.0550022673312624	2.2570712566375732
171	-25.6600000000002	0.0	0.0	2.0	0.0	500.0	1.809315771255656	-0.030338247719739708	2.2541768550872803
172	-26.460000000000242	0.0	2.0	1.0	0.0	500.0	1.3134188952363421	-0.04522745102289427	2.257683038711548
173	-26.840000000000238	0.0	4.0	0.0	0.0	500.0	2.127410632098971	-0.028116123604400536	2.2512025833129883
174	-28.91500000000027	0.0	6.0	1.0	0.0	500.0	6.439518954114544	-0.013180597002379892	2.2556843757629395
175	-28.280000000000218	0.0	4.0	3.0	0.0	500.0	7.130304232776703	-0.008700220446728617	2.3887486457824707
176	-25.590000000000234	0.0	0.0	2.0	0.0	500.0	1.398332446406648	-0.042790835617695144	2.2767207622528076
177	-32.85000000000024	0.0	12.0	2.0	0.0	500.0	15.581335854477226	-0.006754948882010013	2.275367498397827
178	-27.08000000000024	0.0	2.0	2.0	0.0	500.0	1.498749455417497	-0.029638752573524135	2.2777090072631836
179	-30.750000000000252	0.0	8.0	2.0	0.0	500.0	16.736183688319684	-0.01315254463480119	2.2721107006073
180	-24.770000000000213	0.0	0.0	0.0	0.0	500.0	0.601583276343465	-0.07162914477059555	2.2784039974212646
181	-25.945000000000224	0.0	0.0	2.0	0.0	500.0	1.5756140064173751	-0.036272252620711154	2.2731311321258545
182	-26.45500000000024	0.0	2.0	1.0	0.0	500.0	1.1036539734295006	-0.042168463616492284	2.274594783782959
183	-25.05500000000022	0.0	0.0	1.0	0.0	500.0	1.1297064631216673	-0.03828924928458269	2.2562339305877686
184	-25.84500000000022	0.0	0.0	2.0	0.0	500.0	1.615753486151895	-0.03593428114255759	2.2620084285736084
185	-25.300000000000214	0.0	0.0	1.0	0.0	500.0	0.8758410568567945	-0.033831820552963056	2.2559540271759033
186	-29.190000000000232	0.0	6.0	2.0	0.0	500.0	7.219635077307013	-0.0292225714001678	2.2627336978912354
187	-25.185000000000223	1.0	0.0	0.0	0.0	500.0	0.45870374702683553	-0.053859586982971	2.2566349506378174
188	-25.235000000000237	0.0	0.0	1.0	0.0	500.0	0.8920900779304918	-0.029327110901683235	2.4408819675445557
189	-28.370000000000278	0.0	6.0	0.0	0.0	500.0	6.590665583460659	-0.011229937273594413	2.256281852722168
190	-25.93500000000022	0.0	2.0	0.0	0.0	500.0	1.471020658679271	-0.011738867454825101	2.256584644317627
191	-29.010000000000282	0.0	4.0	4.0	0.0	500.0	6.8380933606256065	-0.010567521458075036	2.2562243938446045
192	-27.19000000000028	0.0	2.0	3.0	0.0	500.0	2.822467495322458	-0.029356180546914152	2.2702505588531494
193	-25.780000000000268	0.0	0.0	2.0	0.0	500.0	1.1205992661327222	-0.038159363407079705	2.2672054767608643
194	-25.950000000000223	0.0	0.0	2.0	0.0	500.0	1.528786849168078	-0.02712526970103469	2.2720210552215576
195	-28.700000000000237	0.0	2.0	5.0	0.0	500.0	6.6346639297262335	-0.03136575397622318	2.2673757076263428
196	-30.08000000000027	0.0	8.0	1.0	0.0	500.0	5.683200755804421	-0.014290850669400283	2.3266029357910156
197	-31.375000000000266	0.0	10.0	1.0	0.0	500.0	23.70395155197618	-0.024279515431003446	2.2569568157196045
198	-24.610000000000227	0.0	0.0	0.0	0.0	500.0	0.6213447884964539	-0.04208157514406135	2.2591426372528076
199	-26.42500000000025	0.0	2.0	1.0	0.0	500.0	1.390724907279418	-0.037029611216737014	2.2576749324798584
200	-32.20000000000022	0.0	10.0	3.0	0.0	500.0	18.678877086616644	-0.017929952521234863	2.397108316421509
201	-25.94000000000022	0.0	0.0	2.0	0.0	500.0	1.3687211513481399	-0.02193773433171893	2.271840810775757
202	-27.47500000000027	0.0	4.0	1.0	0.0	500.0	1.6032898587243902	-0.014292032109102872	2.2670106887817383
203	-25.17500000000025	0.0	0.0	1.0	0.0	500.0	0.9216225508275598	-0.02948467845207402	2.266824245452881
204	-25.045000000000236	0.0	0.0	1.0	0.0	500.0	0.9778165317799842	-0.026002138445849036	2.271807909011841
205	-28.01500000000022	0.0	2.0	4.0	0.0	500.0	3.8477733865369528	-0.01737457281558597	2.265756845474243
206	-29.8950000000003	0.0	4.0	5.0	0.0	500.0	5.3935862992346655	-0.006530495907079174	2.278512954711914
207	-29.31000000000027	0.0	2.0	6.0	0.0	500.0	6.797767451767918	-0.015616188571060565	2.3013558387756348
208	-24.720000000000212	0.0	0.0	0.0	0.0	500.0	0.22675908668119238	-0.04320476436569327	2.269084930419922
209	-26.820000000000224	0.0	0.0	4.0	0.0	500.0	1.7583933059746146	-0.025482308542686214	2.268746852874756
210	-25.910000000000228	0.0	0.0	2.0	0.0	500.0	1.398635437690059	-0.01601563947859656	2.3764708042144775
211	-26.33000000000022	0.0	0.0	3.0	0.0	500.0	1.9928178558710454	-0.016238410509974585	2.2717771530151367
212	-25.115000000000204	0.0	0.0	1.0	0.0	500.0	0.9805097537604405	-0.02836882283989535	2.2559494972229004
213	-26.630000000000244	0.0	2.0	1.0	0.0	500.0	0.5383402762825418	-0.009319107792821616	2.2607076168060303
214	-32.870000000000175	0.0	14.0	0.0	0.0	500.0	17.583529146363492	-0.02148511103701625	2.258882761001587
215	-25.885000000000243	0.0	2.0	0.0	0.0	500.0	1.4469735782991415	-0.025892470009132963	2.265259265899658
216	-27.225000000000218	0.0	2.0	2.0	0.0	500.0	4.137985706175856	-0.011330020765529253	2.2701730728149414
217	-29.39000000000023	0.0	4.0	4.0	0.0	500.0	5.017228000198927	-0.00910663849416879	2.2715961933135986
218	-27.200000000000212	0.0	4.0	0.0	0.0	500.0	5.55056163162658	-0.006942074159888171	2.277200698852539
219	-26.020000000000238	0.0	0.0	2.0	0.0	500.0	1.2684518766969606	-0.005105794111802157	2.2752432823181152
220	-27.785000000000267	0.0	4.0	1.0	0.0	500.0	2.067826325388955	0.0013761916014976032	2.2708611488342285
221	-25.1800000000002	0.0	0.0	1.0	0.0	500.0	1.003882494588129	-0.03743433144889986	2.2555394172668457
222	-28.325000000000266	0.0	6.0	0.0	0.0	500.0	3.022298062623213	-0.013166989294643943	2.2613744735717773
223	-27.565000000000232	0.0	2.0	3.0	0.0	500.0	2.976495034593635	-0.018974115686821374	2.325282335281372
224	-25.185000000000212	0.0	0.0	1.0	0.0	500.0	0.8363737087612511	-0.030858363853487947	2.254479169845581
225	-26.095000000000233	0.0	2.0	0.0	0.0	500.0	0.2912943174875289	-0.02825648665476934	2.27091383934021
226	-25.915000000000234	0.0	2.0	0.0	0.0	500.0	0.2225569039517728	-0.044625912696276464	2.270801544189453
227	-26.365000000000247	0.0	2.0	1.0	0.0	500.0	0.8564816253484733	-0.022367045001135663	2.2700588703155518
228	-25.255000000000216	0.0	0.0	1.0	0.0	500.0	0.7735211711647447	-0.03461562186081406	2.277829647064209
