epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	capture_rate	episode_length	loss_value_evader	loss_policy_evader	epoch_time_s
134	-0.20798268687988342	0.0	28.0	0.0	0.9333333333333333	500.0	3.1681639109079103	-0.17091105529233525	1.4970684051513672
135	-41.954398336541885	0.0	30.0	10.0	1.0	128.0	27.1783800725404	0.004203506566371479	1.5997958183288574
136	-5.174605346960534	0.0	29.0	0.0	0.9666666666666667	500.0	6.577663213917858	0.1541576231216146	1.4937896728515625
137	-33.02258173713651	0.0	30.0	0.0	1.0	146.0	12.008090596443564	-0.16350425153142378	1.681668758392334
138	-34.56423774033103	0.0	30.0	0.0	1.0	111.0	25.83181772202413	0.00933422227404927	1.5954833030700684
139	-36.322506829166734	0.0	30.0	2.0	1.0	114.66666666666667	16.167269426110558	0.0961544217424146	1.7852072715759277
140	-41.191111459536216	0.0	30.0	7.0	1.0	71.25	75.47159327045837	0.08343569955402699	1.7847459316253662
141	-34.953490576710294	0.0	30.0	0.0	1.0	106.0	13.150560995014294	-0.23847982532125278	1.5717215538024902
142	-33.526085973644285	0.0	30.0	0.5	1.0	112.5	9.9838346054641	0.060208373957067116	1.80194091796875
143	-34.458252323295895	0.0	30.0	0.0	1.0	112.0	9.365371730579477	-0.11183508279634632	1.7009196281433105
144	-37.65027840855646	0.0	30.0	2.5	1.0	74.75	19.281897001876253	-0.06200838546843939	1.7991864681243896
145	-36.09666941019666	0.0	30.0	1.0	1.0	92.0	5.866072411983492	0.039614459259308045	1.7926418781280518
146	-35.84189975316665	0.0	30.0	0.0	1.0	89.8	6.018618650524474	-0.022959604539669047	1.8981895446777344
147	-35.471553322654984	0.0	30.0	2.5	1.0	121.75	11.048711442808175	-0.13557742114983548	1.8123743534088135
148	-20.996069413827357	0.0	30.0	0.0	1.0	404.0	11.920797635925652	-0.16100106420004526	1.6600656509399414
149	-36.20454089877516	0.0	30.0	0.0	1.0	67.0	10.529813473535079	-0.02213469375061062	1.608773946762085
150	-29.23596000588995	0.0	30.0	0.0	1.0	219.0	17.822991404204043	0.33534034387346023	1.6809430122375488
151	-16.89411133994365	0.0	30.0	0.0	1.0	472.0	8.254048758360264	0.10064020394675227	1.6006054878234863
152	-5.114686709489069	0.0	29.0	0.0	0.9666666666666667	500.0	7.958767953842967	-0.11823706816962562	1.5046229362487793
153	-31.273215824831794	0.0	30.0	0.0	1.0	181.0	5.927620557105982	-0.024878989682237156	1.6724531650543213
154	-35.147146959834465	0.0	30.0	0.0	1.0	108.0	9.764619272114844	-0.10553870613030611	1.6032969951629639
155	-32.17710624909617	0.0	30.0	1.0	1.0	165.0	8.172061212388488	-0.10604725485020393	1.6087303161621094
156	-34.28644018804438	0.0	30.0	0.0	1.0	89.0	6.157395717772406	-0.03948421161203711	1.5582067966461182
157	-33.58526583611954	0.0	30.0	0.6666666666666666	1.0	138.66666666666666	7.796791654581476	0.07765642106842456	1.742495059967041
158	-41.379410650871996	0.0	30.0	7.0	1.0	130.0	78.76713002111312	0.05398537936457295	1.6197521686553955
159	-38.48654010183758	0.0	30.0	5.333333333333333	1.0	156.0	14.339043457052243	-0.24276151727730083	1.7400932312011719
160	-43.50325945788694	0.0	30.0	18.0	1.0	176.0	70.46159926777865	-0.08688459580456986	1.6034481525421143
161	-36.25982750423272	0.0	30.0	3.0	1.0	137.0	25.210053400217824	0.033959800080790255	1.6779048442840576
162	-432.6227514214555	0.0	30.0	86.0	1.0	153.0	5648.679447456611	0.0969623398986203	1.6195347309112549
163	-8.209830649303896	0.0	29.0	6.0	0.9666666666666667	500.0	79.4166433373299	0.2696459811774573	1.5202703475952148
164	-99.10888394572581	0.0	30.0	79.0	1.0	152.5	2387.6010964752813	0.013093177399366582	1.8099195957183838
165	-35.83769782330323	0.0	30.0	0.0	1.0	83.0	69.92128010145971	-0.0004092320499568977	1.5329673290252686
166	-52.43855401747676	0.0	30.0	18.0	1.0	230.0	744.910698095716	0.132263829137281	1.6726255416870117
167	-5.980629967669931	0.0	29.0	2.0	0.9666666666666667	500.0	14.164729265340304	-0.18835921031848948	1.4814214706420898
